ID," City, State",Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Acquirer & Transaction
209," Camargo, OK",The First State Bank,PR-015-2011,28-Jan-11,43.5,40.3,"Bank 7, Oklahoma City, OK has agreed to assume all deposits excluding certain brokered deposits."
210," Denver, CO",United Western Bank,PR-013-2011,21-Jan-11,2050,1650,"First-Citizens Bank & Trust Co., Raleigh, NC has agreed to assume all deposits."
211," Asheville, NC",The Bank of Asheville,PR-012-2011,21-Jan-11,195.1,188.3,"First Bank, Troy, NC has agreed to assume all deposits."
212," Easley, SC",CommunitySouth Bank and Trust,PR-011-2011,21-Jan-11,440.6,402.4,"CertusBank, National Association, Charlotte, NC has agreed to assume all deposits excluding certain brokered deposits."
213," McDonough, GA",Enterprise Banking Company,PR-010-2011,21-Jan-11,100.9,95.5,"To protect the insured depositors, the FDIC created Deposit Insurance National Bank of McDonough - a new depository institution chartered by the Office of Thrift Supervision (OTS), which will remain open until January 28, 2011."
214," Brunswick, GA",Oglethorpe Bank,PR-006-2011,14-Jan-11,230.6,212.7,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits excluding certain brokered deposits."
215," Scottsdale, AZ",Legacy Bank,PR-003-2011,7-Jan-11,150.6,125.9,"Enterprise Bank & Trust, Clayton, MO has agreed to assume all deposits."
216," Orlando, FL",First Commercial Bank of Florida,PR-002-2011,7-Jan-11,598.5,529.6,"First Southern Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits."
217," Lino Lakes, MN",Community National Bank,PR-276-2010,17-Dec-10,31.6,28.8,"Farmers & Merchants Savings Bank, Manchester, IA, has agreed to assume all deposits."
218," Batesville, AR",First Southern Bank,PR-275-2010,17-Dec-10,191.8,155.8,"Southern Bank, Poplar Bluff, MO has agreed to assume all deposits excluding certain brokered deposits."
219," National Association, Atlanta, GA",United Americas Bank,PR-274-2010,17-Dec-10,242.3,193.8,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits excluding certain brokered deposits."
220," FSB, McCaysville, GA",Appalachian Community Bank,PR-273-2010,17-Dec-10,68.2,76.4,"Peoples Bank of East Tennessee, Madisonville, TN has agreed to assume all deposits excluding certain brokered deposits."
221," Dawsonville, GA",Chestatee State Bank,PR-272-2010,17-Dec-10,244.4,240.5,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits."
222," National Association, Coral Gables, FL",The Bank of Miami,PR-271-2010,17-Dec-10,448.2,374.2,"1st United Bank, Boca Raton, FL has agreed to assume all deposits excluding certain brokered deposits."
223," Southampton, PA",Earthstar Bank,PR-264-2010,10-Dec-10,112.6,104.5,"Polonia Bank, Huntingdon Valley, PA has agreed to assume all deposits."
224," Farmington Hills, MI",Paramount Bank,PR-263-2010,10-Dec-10,252.7,213.6,"Level One Bank, Farmington Hills, MI has agreed to assume all deposits excluding certain brokered deposits."
225," Burlington, WI",First Banking Center,PR-255-2010,19-Nov-10,750.7,664.8,"First Michigan Bank, Troy, MI has agreed to assume all deposits excluding certain brokered deposits."
226," Bala Cynwyd, PA",Allegiance Bank of North America,PR-254-2010,19-Nov-10,106.6,92,"VIST Bank, Wyomissing, PA has agreed to assume all deposits excluding certain brokered deposits."
227," Carrabelle, FL",Gulf State Community Bank,PR-253-2010,19-Nov-10,112.1,112.2,"Centennial Bank, Conway, AR has agreed to assume all deposits excluding certain brokered deposits."
228," Scottsdale, AZ",Copper Star Bank,PR-250-2010,12-Nov-10,204,190.2,"Stearns Bank National Association, Saint Cloud, MN has agreed to assume all deposits excluding certain brokered deposits."
229," Vidalia, GA",Darby Bank & Trust Co.,PR-249-2010,12-Nov-10,654.7,587.6,"Ameris Bank, Moultrie, GA has agreed to assume all deposits excluding certain brokered deposits."
230," Tifton, GA",Tifton Banking Company,PR-249-2010,12-Nov-10,143.7,141.6,"Ameris Bank, Moultrie, GA has agreed to assume all deposits including certain brokered deposits."
231," Westminster, CA",First Vietnamese American Bank,PR-245-2010,5-Nov-10,48,47,"Grandpoint Bank, Los Angeles, CA has agreed to assume all deposits excluding certain brokered deposits."
232," Tacoma, WA",Pierce Commercial Bank,PR-244-2010,5-Nov-10,221.1,193.5,"Heritage Bank, Olympia, WA has agreed to assume all deposits."
233," Woodland Hills, CA",Western Commercial Bank,PR-243-2010,5-Nov-10,98.6,101.1,"First California Bank, Westlake Village, CA has agreed to assume all deposits."
234," Randallstown, MD",K Bank,PR-242-2010,5-Nov-10,538.3,500.1,"Manufacturers and Traders Trust Company, Buffalo, NY has agreed to assume all deposits excluding certain brokered deposits."
235," A FSB, Scottsdale, AZ",First Arizona Savings,PR-237-2010,22-Oct-10,272.2,198.8,"The FDIC has approved the payout of the insured deposits of First Arizona Savings, A FSB."
236," Overland Park, KS",Hillcrest Bank,PR-236-2010,22-Oct-10,1650,1540,"Hillcrest Bank, National Association, Overland Park, KS has agreed to assume all deposits excluding certain brokered deposits."
237," Maywood, IL",First Suburban National Bank,PR-235-2010,22-Oct-10,148.7,140,"Seaway Bank and Trust Company, Chicago, IL has agreed to assume all deposits excluding certain brokered deposits."
238," Barnesville, GA",The First National Bank of Barnesville,PR-234-2010,22-Oct-10,131.4,127.1,"United Bank, Zebulon, GA has agreed to assume all deposits excluding certain brokered deposits."
239," Gordon, GA",The Gordon Bank,PR-233-2010,22-Oct-10,29.4,26.7,"Morris Bank, Dublin, GA has agreed to assume all deposits."
240," Tampa, FL",Progress Bank of Florida,PR-232-2010,22-Oct-10,110.7,101.3,"Bay Cities Bank, Tampa, FL has agreed to assume all deposits excluding certain brokered deposits."
241," Jacksonville, FL",First Bank of Jacksonville,PR-231-2010,22-Oct-10,81,77.3,"Ameris Bank, Moultrie, GA has agreed to assume all deposits."
242," Jefferson City, MO",Premier Bank,PR-228-2010,15-Oct-10,1180,1030,"Providence Bank, Columbia, MO has agreed to assume all deposits excluding certain brokered deposits."
243," Chesterfield, MO",WestBridge Bank and Trust Company,PR-227-2010,15-Oct-10,91.5,72.5,"Midland States Bank, Effingham, IL has agreed to assume all deposits excluding certain brokered deposits."
244," F.S.B., Olathe, KS",Security Savings Bank,PR-226-2010,15-Oct-10,508.4,397,"Simmons First National Bank, Pine Bluff, AR has agreed to assume all deposits."
245," Shoreline, WA",Shoreline Bank,PR-221-2010,1-Oct-10,104.2,100.2,"GBC International Bank, Los Angeles, CA has agreed to assume all deposits excluding certain brokered deposits."
246," Crawfordville, FL",Wakulla Bank,PR-220-2010,1-Oct-10,424.1,386.3,"Centennial Bank, Conway, AR has agreed to assume all deposits excluding certain brokered deposits."
247," Arlington, WA",North County Bank,PR-215-2010,24-Sep-10,288.8,276.1,"Whidbey Island Bank, Coupeville, WA has agreed to assume all deposits excluding certain brokered deposits."
