ID," City, State",Bank Name,Press Release (PR),Closing Date,Approx. Asset (Millions),Approx. Deposit (Millions),Acquirer & Transaction
323," National Association, Rockford, IL",Amcore Bank,PR-084-2010,23-Apr-10,3800,3400,"Harris National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
324," Lynnwood, WA",City Bank,PR-082-2010,16-Apr-10,1130,1020,"Whidbey Island Bank, Coupeville, WA has agreed to assume all deposits, excluding certain brokered deposits."
325," San Rafael, CA",Tamalpais Bank,PR-081-2010,16-Apr-10,628.9,487.6,"Union Bank, National Association, San Francisco, CA has agreed to assume all deposits, excluding certain brokered deposits."
326," Oakland, CA",Innovative Bank,PR-080-2010,16-Apr-10,268.9,225.2,"Center Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
327," Lowell, MA",Butler Bank,PR-079-2010,16-Apr-10,268,233.2,"People's United Bank, Bridgeport, CT has agreed to assume all deposits."
328," Fort Pierce, FL",Riverside National Bank of Florida,PR-078-2010,16-Apr-10,3420,2760,"TD Bank, National Association, Wilmington, DE has agreed to assume all deposits, excluding certain brokered deposits."
329," Clermont, FL",AmericanFirst Bank,PR-078-2010,16-Apr-10,90.5,81.9,"TD Bank, National Association, Wilmington, DE has agreed to assume all deposits, excluding certain brokered deposits."
330," Palatka, FL",First Federal Bank of North Florida,PR-078-2010,16-Apr-10,393.3,324.2,"TD Bank, National Association, Wilmington, DE has agreed to assume all deposits."
331," Sterling Heights, MI",Lakeside Community Bank,PR-077-2010,16-Apr-10,53,52.3,The FDIC has approved the payout of the insured deposits of Lakeside Community Bank.
332," Myrtle Beach, SC",Beach First National Bank,PR-073-2010,9-Apr-10,585.1,516,"Bank of North Carolina, Thomasville, NC has agreed to assume all deposits, excluding certain brokered deposits."
333," Phoenix, AZ",Desert Hills Bank,PR-069-2010,26-Mar-10,496.6,426.5,"New York Community Bank, Westbury, NY has agreed to assume all deposits, excluding certain brokered deposits."
334," Cartersville, GA",Unity National Bank,PR-068-2010,26-Mar-10,292.2,264.3,"Bank of the Ozarks, Little Rock, AR has agreed to assume all deposits, excluding certain brokered deposits."
335," Key West, FL",Key West Bank,PR-067-2010,26-Mar-10,88,67.7,"Centennial Bank, Conway, AR has agreed to assume all deposits, excluding certain brokered deposits."
336," Carrollton, GA",McIntosh Commercial Bank,PR-066-2010,26-Mar-10,362.9,343.3,"CharterBank, West Point, GA has agreed to assume all deposits, excluding certain brokered deposits."
337," Aurora, MN",State Bank of Aurora,PR-062-2010,19-Mar-10,28.2,27.8,"Northern State Bank, Ashland, WI has agreed to assume all deposits."
338," Fort Deposit, AL",First Lowndes Bank,PR-061-2010,19-Mar-10,137.2,131.1,"First Citizens Bank, Luverne, AL has agreed to assume all deposits."
339," Hiawassee, GA",Bank of Hiawassee,PR-060-2010,19-Mar-10,377.8,339.6,"Citizens South Bank, Gastonia, NC has agreed to assume all deposits, excluding certain brokered deposits."
340," Ellijay, GA",Appalachian Community Bank,PR-059-2010,19-Mar-10,1010,917.6,"Community & Southern Bank, Carrollton, GA has agreed to assume all deposits."
341," Draper, UT",Advanta Bank Corp.,PR-058-2010,19-Mar-10,1600,1500,The FDIC has approved the payout of the insured deposits of Advanta Bank Corp.
342," Duluth, GA",Century Security Bank,PR-057-2010,19-Mar-10,96.5,94,"Bank of Upson, Thomaston, GA has agreed to assume all deposits, excluding certain brokered deposits."
343," Parma, OH",American National Bank,PR-056-2010,19-Mar-10,70.3,66.8,"The National Bank and Trust Company, Wilmington, OH has agreed to assume all deposits, excluding certain brokered deposits."
344," Covington, LA",Statewide Bank,PR-053-2010,12-Mar-10,243.2,208.8,"Home Bank, Lafayette, LA has agreed to assume all deposits."
345," Orlando, FL",Old Southern Bank,PR-052-2010,12-Mar-10,315.6,319.7,"Centennial Bank, Conway, AR has agreed to assume all deposits."
346," New York, NY",Park Avenue Bank,PR-051-2010,12-Mar-10,520.1,494.5,"Valley National Bank, Wayne, NJ has agreed to assume all deposits, excluding certain brokered deposits."
347," New York, NY",LibertyPointe Bank,PR-049-2010,11-Mar-10,209.7,209.5,"Valley National Bank, Wayne, NJ has agreed to assume all deposits."
348," Ogden, UT",Centennial Bank,PR-046-2010,5-Mar-10,215.2,205.1,The FDIC has approved the payout of the insured deposits of Centennial Bank.
349," Germantown, MD",Waterfield Bank,PR-045-2010,5-Mar-10,155.6,156.4,"To protect the insured depositors, the FDIC created Waterfield Bank, FA - a new depository institution chartered by the Office of Thrift Supervision (OTS) and insured by the FDIC - to take over the operations of Waterfield Bank. The FDIC will mail checks directly to customers with CDs and IRAs for the amount of their insured funds."
350," Normal, IL",Bank of Illinois,PR-044-2010,5-Mar-10,211.7,198.5,"Heartland Bank and Trust Company, Bloomington, IL has agreed to assume all deposits, excluding certain brokered deposits."
351," Boca Raton, FL",Sun American Bank,PR-043-2010,5-Mar-10,535.7,443.5,"First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits."
352," Tacoma, WA",Rainier Pacific Bank,PR-041-2010,26-Feb-10,717.8,446.2,"Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits."
353," Carson City, NV",Carson River Community Bank,PR-040-2010,26-Feb-10,51.1,50,"Heritage Bank of Nevada, Reno, NV has agreed to assume all deposits, excluding certain brokered deposits."
354," FSB, La Jolla, CA",La Jolla Bank,PR-034-2010,19-Feb-10,3600,2800,"OneWest Bank, FSB, Pasadena, CA has agreed to assume all deposits."
355," Orland Park, IL",George Washington Savings Bank,PR-033-2010,19-Feb-10,412.8,395.3,"FirstMerit Bank, National Association, Akron, OH has agreed to assume all deposits."
356," La Coste, TX",The La Coste National Bank,PR-032-2010,19-Feb-10,53.9,49.3,"Community National Bank, Hondo, TX has agreed to assume all deposits."
357," Marco Island, FL",Marco Community Bank,PR-031-2010,19-Feb-10,119.6,117.1,"Mutual of Omaha Bank, Omaha, NE has agreed to assume all deposits, excluding certain brokered deposits."
358," Hancock, MN",1st American State Bank of Minnesota,PR-030-2010,5-Feb-10,18.2,16.3,"Community Development Bank, FSB, Ogema, MN has agreed to assume all deposits."
359," Bainbridge Island, WA",American Marine Bank,PR-027-2010,29-Jan-10,373.2,308.5,"Columbia State Bank, Tacoma, WA has agreed to assume all deposits, excluding certain brokered deposits."
360," Los Angeles, CA",First Regional Bank,PR-026-2010,29-Jan-10,2180,1870,"First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits."
361," Cornelia, GA",Community Bank and Trust,PR-025-2010,29-Jan-10,1210,1110,"SCBT National Association, Orangeburg, SC has agreed to assume all deposits, excluding certain brokered deposits."
362," National Association, Hallock, MN",Marshall Bank,PR-024-2010,29-Jan-10,59.9,54.7,"United Valley Bank, Cavalier, ND has agreed to assume all deposits."
363," Immokalee, FL",Florida Community Bank,PR-023-2010,29-Jan-10,875.5,795.5,"Premier American Bank, National Association, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
364," Carrollton, GA",First National Bank of Georgia,PR-022-2010,29-Jan-10,832.6,757.9,"Community and Southern Bank, Carrollton, GA has agreed to assume all deposits, excluding certain brokered deposits."
365," The Dalles, OR",Columbia River Bank,PR-018-2010,22-Jan-10,1100,1000,"Columbia State Bank, Tacoma, WA has agreed to assume all deposits."
366," Seattle, WA",Evergreen Bank,PR-017-2010,22-Jan-10,488.5,439.4,"Umpqua Bank, Roseburg, OR has agreed to assume all deposits, excluding certain brokered deposits."
367," Santa Fe, NM",Charter Bank,PR-016-2010,22-Jan-10,1200,851.5,"Charter Bank, Albuquerque, NM has agreed to assume all deposits, excluding certain brokered deposits."
368," Leeton, MO",Bank of Leeton,PR-015-2010,22-Jan-10,20.1,20.4,"Sunflower Bank, National Association, Salina, KS has agreed to assume all deposits."
369," Miami, FL",Premier American Bank,PR-014-2010,22-Jan-10,350.9,326.3,"Premier American Bank, National Association, Miami, FL has agreed to assume all deposits, excluding certain brokered deposits."
370," Kaysville, UT",Barnes Banking Company,PR-010-2010,15-Jan-10,827.8,786.5,"The FDIC has created the Deposit Insurance National Bank of Kaysville, UT (""DINB of Kaysville"") to facilitate the resolution of Barnes Banking Company, Kaysville, UT."
371," St. Stephen, MN",St. Stephen State Bank,PR-009-2010,15-Jan-10,24.7,23.4,"First State Bank of St. Joseph, St. Joseph, MN has agreed to assume all deposits."
372," Antioch, IL",Town Community Bank and Trust,PR-008-2010,15-Jan-10,69.6,67.4,"First American Bank, Elk Grove Village, IL has agreed to assume all deposits, excluding certain brokered deposits."
373," Bellingham, WA",Horizon Bank,PR-004-2010,8-Jan-10,1300,1100,"Washington Federal Savings and Loan Association, Seattle, WA has agreed to assume all deposits, excluding certain brokered deposits."
374," F.S.B., Santa Monica, CA",First Federal Bank of California,PR-239-2009,18-Dec-09,6100,4500,"OneWest Bank, FSB, Pasadena, CA has agreed to assume all deposits."
375," La Jolla, CA",Imperial Capital Bank,PR-238-2009,18-Dec-09,4000,2800,"City National Bank, Los Angeles, CA has agreed to assume all deposits, excluding certain brokered deposits."
376," Springfield, IL",Independent Bankers' Bank,PR-237-2009;  PR-006-2010,18-Dec-09,585.5,511.5,"The FDIC created a bridge bank, Independent Bankers' Bank Bridge Bank (IBB Bridge Bank, National Association), to take over operations."
377," Irondale, AL",New South Federal Savings Bank,PR-236-2009,18-Dec-09,1500,1200,"Beal Bank, Plano, TX has agreed to assume all deposits."
378," New Baltimore, MI",Citizens State Bank,PR-235-2009,18-Dec-09,168.6,157.1,"Deposit Insurance National Bank of New Baltimore, New Baltimore, MI has agreed to assume insured deposits."
379," Panama City, FL",Peoples First Community Bank,PR-234-2009,18-Dec-09,1800,1700,"Hancock Bank, Gulfport, MS has agreed to assume all deposits, excluding certain brokered deposits."
380," Atlanta, GA",RockBridge Commercial Bank,PR-233-2009,18-Dec-09,294,291.7,The FDIC has approved the payout of the insured deposits of RockBridge Commercial Bank.
381," Overland Park, KS",SolutionsBank,PR-227-2009,11-Dec-09,511.1,421.3,"Arvest Bank, Fayetteville, AR has agreed to assume all deposits, excluding certain brokered deposits."
382," National Association, Mesa, AZ",Valley Capital Bank,PR-226-2009,11-Dec-09,40.3,41.3,"Enterprise Bank & Trust, Clayton, MO has agreed to assume all deposits."
383," National Association, Miami, FL",Republic Federal Bank,PR-225-2009,11-Dec-09,433,352.7,"1st United Bank, Boca Raton, FL has agreed to assume all deposits, excluding certain brokered deposits."
384," Reston, VA",Greater Atlantic Bank,PR-224-2009,4-Dec-09,203,179,"Sonabank, McLean, VA has agreed to assume all deposits."
385," Aurora, IL",Benchmark Bank,PR-223-2009,4-Dec-09,170,181,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
386," Cleveland, OH",AmTrust Bank,PR-222-2009,4-Dec-09,12000,8000,"New York Community Bank, Westbury, NY has agreed to assume all deposits."
387," Reidsville, GA",The Tattnall Bank,PR-221-2009,4-Dec-09,49.6,47.3,"HeritageBank of the South, Albany, GA has agreed to assume all deposits, excluding certain brokered deposits."
388," Norcross, GA",First Security National Bank,PR-220-2009,4-Dec-09,128,123,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits, excluding certain brokered deposits."
389," Atlanta, GA",The Buckhead Community Bank,PR-219-2009,4-Dec-09,874,838,"State Bank and Trust Company, Macon, GA has agreed to assume all deposits, excluding certain brokered deposits."
390," Fort Myers, FL",Commerce Bank of Southwest Florida,PR-211-2009,20-Nov-09,79.7,76.7,"Central Bank, Stillwater, MN has agreed to assume all deposits, excluding certain brokered deposits."
391," San Clemente, CA",Pacific Coast National Bank,PR-207-2009,13-Nov-09,134.4,130.9,"Sunwest Bank, Tustin, CA has agreed to assume all deposits, excluding certain brokered deposits."
392," Naples, FL",Orion Bank,PR-206-2009,13-Nov-09,2700,2100,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
393," a Federal Savings Bank, Sarasota, FL",Century Bank,PR-205-2009,13-Nov-09,728,631,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
394," San Francisco, CA",United Commercial Bank,PR-201-2009,6-Nov-09,11200,7500,"East West Bank, Pasadena, CA has agreed to assume all deposits, excluding certain brokered deposits."
395," St. Louis, MO",Gateway Bank of St. Louis,PR-200-2009,6-Nov-09,27.7,27.9,"Central Bank of Kansas City, Kansas City, MO has agreed to assume all deposits."
396," Oakdale, MN",Prosperan Bank,PR-199-2009,6-Nov-09,199.5,175.6,"Alerus Financial, National Association, Grand Forks, ND has agreed to assume all deposits, excluding certain brokered deposits."
397," Detroit, MI",Home Federal Savings Bank,PR-198-2009,6-Nov-09,14.9,12.8,"Liberty Bank and Trust Company, New Orleans, LA has agreed to assume all deposits."
398," Sparta, GA",United Security Bank,PR-197-2009,6-Nov-09,157,150,"Ameris Bank, Moultrie, GA has agreed to assume all deposits, excluding certain brokered deposits."
399," Houston, TX",North Houston Bank,PR-195-2009,30-Oct-09,326.2,308,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
400," Madisonville, TX",Madisonville State Bank,PR-195-2009,30-Oct-09,256.7,225.2,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
401," Teague, TX",Citizens National Bank,PR-195-2009,30-Oct-09,118.2,97.7,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
402," Chicago, IL",Park National Bank,PR-195-2009,30-Oct-09,4706.1,3730.9,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
403," San Francisco, CA",Pacific National Bank,PR-195-2009,30-Oct-09,2335.3,1762.8,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
404," Los Angeles, CA",California National Bank,PR-195-2009,30-Oct-09,7792.2,6160.4,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
405," San Diego, CA",San Diego National Bank,PR-195-2009,30-Oct-09,3608.1,2892.4,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
406," Lemont, IL",Community Bank of Lemont,PR-195-2009,30-Oct-09,81.8,81.2,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
407," National Association, Phoenix, AZ",Bank USA,PR-195-2009,30-Oct-09,212.8,117.1,"U.S. Bank National Association, Minneapolis, MN has agreed to assume all deposits."
408," Westmont, IL",First DuPage Bank,PR-192-2009,23-Oct-09,279,254,"First Midwest Bank, Itasca, IL has agreed to assume all deposits, excluding certain brokered deposits."
409," Otsego, MN",Riverview Community Bank,PR-191-2009,23-Oct-09,108,80,"Central Bank, Stillwater, MN has agreed to assume all deposits."
410," Racine, WI",Bank of Elmwood,PR-190-2009,23-Oct-09,327.4,273.2,"Tri City National Bank, Oak Creek, WI has agreed to assume all deposits, excluding certain brokered deposits."
411," Bradenton, FL",Flagship National Bank,PR-189-2009,23-Oct-09,190,175,"First Federal Bank of Florida, Lake City, FL has agreed to assume all deposits."
412," Naples, FL",Hillcrest Bank Florida,PR-188-2009,23-Oct-09,83,84,"Stonegate Bank, Fort Lauderdale, FL has agreed to assume all deposits, excluding certain brokered deposits."
413," Lawrenceville, GA",American United Bank,PR-187-2009,23-Oct-09,111,101,"Ameris Bank, Moultrie, GA has agreed to assume all deposits."
414," Naples, FL",Partners Bank,PR-186-2009,23-Oct-09,65.5,64.9,"Stonegate Bank, Fort Lauderdale, FL has agreed to assume all deposits."
415," Bakersfield, CA",San Joaquin Bank,PR-185-2009,16-Oct-09,775,631,"Citizens Business Bank, Ontario, CA has agreed to assume all deposits, excluding certain brokered deposits."
416," Pueblo, CO",Southern Colorado National Bank,PR-181-2009,2-Oct-09,39.5,31.9,"Legacy Bank, Wiley, CO has agreed to assume all deposits."
417," Spring Grove, MN",Jennings State Bank,PR-180-2009,2-Oct-09,56.3,52.4,"Central Bank, Stillwater, MN has agreed to assume all deposits."
418," Warren, MI",Warren Bank,PR-179-2009,2-Oct-09,538,501,"The Huntington National Bank, Columbus, OH has agreed to assume all deposits, excluding certain brokered deposits."
419," Atlanta, GA",Georgian Bank,PR-177-2009,25-Sep-09,2000,2000,"First Citizens Bank and Trust Company, Inc., Columbia, SC has agreed to assume all deposits, excluding certain brokered deposits."
420," F.S.B., Louisville, KY",Irwin Union Bank,PR-174-2009,18-Sep-09,493,441,"First Financial Bank, National Association, Hamilton, OH has agreed to assume all deposits."
421," Columbus, IN",Irwin Union Bank and Trust Company,PR-174-2009,18-Sep-09,2700,2100,"First Financial Bank, National Association, Hamilton, OH has agreed to assume all deposits."
422," Lacey, WA",Venture Bank,PR-170-2009,11-Sep-09,970,903,"First-Citizens Bank & Trust Company, Raleigh, NC has agreed to assume all deposits, excluding certain brokered deposits."
423," Woodbury, MN",Brickwell Community Bank,PR-169-2009,11-Sep-09,72,63,"CorTrust Bank National Association, Mitchell, SD has agreed to assume all deposits, excluding certain brokered deposits."
424," National Association, Chicago, IL",Corus Bank,PR-168-2009,11-Sep-09,7000,7000,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
425," Flagstaff, AZ",First State Bank,PR-165-2009,4-Sep-09,105,95,"Sunwest Bank, Tustin, CA has agreed to assume all deposits, excluding certain brokered deposits."
426," Rolling Meadows, IL",Platinum Community Bank,PR-164-2009,4-Sep-09,345.6,305,The FDIC has approved the payout of the insured deposits Platinum Community Bank.
427," Sioux City, IA",Vantus Bank,PR-163-2009,4-Sep-09,458,368,"Great Southern Bank, Springfield, MO has agreed to assume all deposits."
428," Oak Forest, IL",InBank,PR-162-2009,4-Sep-09,212,199,"MB Financial Bank, National Association, Chicago, IL has agreed to assume all deposits, excluding certain brokered deposits."
429," Kansas City, MO",First Bank of Kansas City,PR-161-2009,4-Sep-09,16,15,"Great American Bank, De Soto, KS has agreed to assume all deposits."
430," Ventura, CA",Affinity Bank,PR-157-2009,28-Aug-09,1000,922,"Pacific Western Bank, San Diego, CA has agreed to assume all deposits, excluding certain brokered deposits."
431," Forest Lake, MN",Mainstreet Bank,PR-156-2009,28-Aug-09,459,434,"Central Bank, Stillwater, MN has agreed to assume all deposits, excluding certain brokered deposits."
432," Baltimore, MD",Bradford Bank,PR-155-2009,28-Aug-09,452,383,"Manufacturers and Traders Trust Company, Buffalo, NY has agreed to assume all deposits."
433," Austin, TX",Guaranty Bank,PR-150-2009,21-Aug-09,13000,12000,"BBVA Compass, Birmingham, AL has agreed to assume all deposits, excluding certain brokered deposits."
434," Birmingham, AL",CapitalSouth Bank,PR-149-2009,21-Aug-09,617,546,"IBERIABANK, Lafayette, LA has agreed to assume all deposits, excluding certain brokered deposits."
435," Newnan, GA",First Coweta Bank,PR-148-2009,21-Aug-09,167,155,"United Bank, Zebulon, GA, has agreed to assume all deposits, excluding certain brokered deposits."
436," Atlanta, GA",ebank,PR-147-2009,21-Aug-09,143,130,"Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits."
437," Las Vegas, NV",Community Bank of Nevada,PR-146-2009,14-Aug-09,1520,1380,"The FDIC has created the Deposit Insurance National Bank of Las Vegas, NV (""DINB of Las Vegas"") to facilitate the resolution of Community Bank of Nevada, Las Vegas, NV."
438," Phoenix, AZ",Community Bank of Arizona,PR-145-2009,14-Aug-09,158.5,143.8,"MidFirst Bank, Oklahoma City, OK, has agreed to assume all deposits, excluding certain brokered deposits (approximately $143.8 million)."
439," National Association, Gilbert, AZ",Union Bank,PR-144-2009,14-Aug-09,124,112,"MidFirst Bank, Oklahoma City, OK, has agreed to assume all non-brokered deposits."
440," Montgomery, AL",Colonial Bank,PR-143-2009,14-Aug-09,25000,20000,"Branch Banking and Trust Company (BB&T), Winston-Salem, NC, has agreed to assume all deposits."
441," Pittsburgh, PA",Dwelling House Savings and Loan Association,PR-142-2009,14-Aug-09,13.4,13.8,"PNC Bank, National Association, Pittsburgh, PA has agreed to assume all deposits."
442," Prineville, OR",Community First Bank,PR-141-2009,7-Aug-09,209,182,"Home Federal Bank, Nampa, ID, has agreed to assume all deposits, excluding certain brokered deposits."
443," Venice, FL",Community National Bank of Sarasota County,PR-140-2009,7-Aug-09,97,93,"Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits."
444," Sarasota, FL",First State Bank,PR-139-2009,7-Aug-09,463,387,"Stearns Bank National Association, St. Cloud, MN, has agreed to assume all deposits, excluding certain brokered deposits."
445," Harvey, Illinois",Mutual Bank,PR-137-2009,31-Jul-09,1600,1600,"United Central Bank, Garland, TX, has agreed to assume all deposits."
446," Elizabeth, NJ",First BankAmericano,PR-136-2009,31-Jul-09,166,157,"Crown Bank, Brick, NJ, has agreed to assume all deposits."
447," West Chester, OH",Peoples Community Bank,PR-135-2009,31-Jul-09,705.8,598.2,"First Financial Bank, National Association, Hamilton, OH, has agreed to assume all deposits, excluding certain brokered deposits."
448," Jupiter, FL",Integrity Bank,PR-134-2009,31-Jul-09,119,102,"Stonegate Bank, Fort Lauderdale, FL, has agreed to assume all deposits, excluding certain brokered deposits."
449," Altus, OK",First State Bank of Altus,PR-133-2009,31-Jul-09,103.4,98.2,"Herring Bank, Amarillo, TX, has agreed to assume all deposits."
450," Macon, GA",Security Bank of Bibb County,PR-130-2009,24-Jul-09,1200,1000,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
451," Perry, GA",Security Bank of Houston County,PR-130-2009,24-Jul-09,383,320,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
452," Gray, GA",Security Bank of Jones County,PR-130-2009,24-Jul-09,453,387,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
453," Suwanee, GA",Security Bank of Gwinnett County,PR-130-2009,24-Jul-09,322,292,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
454," Woodstock, GA",Security Bank of North Metro,PR-130-2009,24-Jul-09,224,212,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
455," Alpharetta, GA",Security Bank of North Fulton,PR-130-2009,24-Jul-09,209,191,"State Bank and Trust Company, Pinehurst, GA, has agreed to assume all deposits."
456," Williamsville, NY",Waterford Village Bank,PR-129-2009,24-Jul-09,61.4,58,"Evans Bank, National Association, Angola, NY, has agreed to assume all deposits."
457," Temecula, CA",Temecula Valley Bank,PR-126-2009,17-Jul-09,1500,1300,"First-Citizens Bank & Trust Company, Raleigh, North Carolina, has agreed to assume all deposits, excluding certain brokered deposits."
458," National Association, Rancho Cucamonga, CA",Vineyard Bank,PR-125-2009,17-Jul-09,1900,1600,"California Bank & Trust, San Diego, CA, has agreed to assume all deposits, excluding certain brokered deposits."
459," Sioux Falls, SD",BankFirst,PR-124-2009,17-Jul-09,275,254,"Alerus Financial, National Association, Grand Forks, ND, has agreed to assume all deposits."
460," Winder, GA",First Piedmont Bank,PR-123-2009,17-Jul-09,115,109,"First American Bank and Trust Company, Athens, GA, has agreed to assume all deposits."
461," Thermopolis, WY",Bank of Wyoming,PR-122-2009,10-Jul-09,70,67,"Central Bank & Trust, Lander, WY, has agreed to assume all deposits, excluding certain brokered deposits."
462," Worth, IL",Founders Bank,PR-119-2009,2-Jul-09,962.5,848.9,"The PrivateBank and Trust Company, Chicago, IL, has agreed to assume all deposits."
463," Dallas, TX",Millennium State Bank of Texas,PR-118-2009,2-Jul-09,118,115,"State Bank of Texas, Irving, Texas, has agreed to assume all deposits."
464," Danville, IL",The First National Bank of Danville,PR-117-2009,2-Jul-09,166,147,"First Financial Bank, National Association, Terre Haute, Indiana, has agreed to assume all deposits."
465," Elizabeth, IL",The Elizabeth State Bank,PR-116-2009,2-Jul-09,55.5,50.4,"Galena State Bank and Trust Company, Galena, IL, has agreed to assume all deposits."
466," Oregon, IL",Rock River Bank,PR-115-2009,2-Jul-09,77,75.8,"The Harvard State Bank, Harvard, Illinois, has agreed to assume all deposits."
467," Winchester, IL",The First State Bank of Winchester,PR-114-2009,2-Jul-09,36,34,"The First National Bank of Beardstown, Beardstown, IL, has agreed to assume all deposits."
468," Clinton, IL",The John Warner Bank,PR-113-2009,2-Jul-09,70,64,"State Bank of Lincoln, Lincoln, IL, has agreed to assume all deposits."
469," Los Angeles, CA",Mirae Bank,PR-105-2009,26-Jun-09,456,362,"Wilshire State Bank, Los Angeles, CA, has agreed to assume all deposits."
470," Irvine, CA",MetroPacific Bank,PR-104-2009,26-Jun-09,80,73,"Sunwest Bank, Tustin, CA, has agreed to assume all non-brokered deposits."
471," Pine City, MN",Horizon Bank,PR-103-2009,26-Jun-09,87.6,69.4,"Stearns Bank National Association, St. Cloud, Minnesota, has agreed to assume all deposits, excluding certain brokered deposits."
472," Newnan, GA",Neighborhood Community Bank,PR-102-2009,26-Jun-09,221.6,191.3,"CharterBank, West Point, GA, has agreed to assume all deposits."
473," Villa Rica, GA",Community Bank of West Georgia,PR-101-2009,26-Jun-09,199.4,182.5,The FDIC has approved the payout of the insured deposits of Community Bank of West Georgia.
474," Wilmington, NC",Cooperative Bank,PR-95-2009,19-Jun-09,970,774,"First Bank, Troy, NC, has agreed to assume all deposits, excluding certain brokered deposits."
475," Fayetteville, GA",Southern Community Bank,PR-94-2009,19-Jun-09,377,307,"United Community Bank, Blairsville, GA, has agreed to assume all deposits."
476," Anthony, KS",First National Bank of Anthony,PR-096-2009,19-Jun-09,156.9,142.5,"Bank of Kansas, South Hutchinson, Kansas, has agreed to assume all deposits."
477," Lincolnwood, IL",Bank of Lincolnwood,PR-86-2009,5-Jun-09,214,202,"Republic Bank of Chicago, Oak Brook, Illinois, has agreed to assume all deposits."
478," Macomb, IL",Citizens National Bank,PR-76-2009,22-May-09,437,400,"Morton Community Bank, Morton, IL, has agreed to assume all non-brokered deposits."
479," Champaign, IL",Strategic Capital Bank,PR-75-2009,22-May-09,537,471,"Midland States Bank, Effingham, IL, has agreed to assume all deposits."
480," FSB, Coral Gables, FL",BankUnited,PR-72-2009,21-May-09,12800,8600,"BankUnited, Coral Gables, FL, has agreed to assume all deposits."
481," Bremerton, WA",Westsound Bank,PR-069-2009,8-May-09,334.6,304.5,"Kitsap Bank, Port Orchard, WA, has agreed to assume all non-brokered deposits."
482," Layton, UT",America West Bank,PR-63-2009,1-May-09,299.4,284.1,"Cache Valley Bank, Logan, Utah, has agreed to assume all deposits."
483," Ridgewood, NJ",Citizens Community Bank,PR-62-2009,1-May-09,45.1,43.7,"North Jersey Community Bank, Englewood Cliffs, NJ, has agreed to assume all deposits."
484," National Association, Atlanta, GA",Silverton Bank,PR-61-2009,1-May-09,4100,3300,"The FDIC created a bridge bank, Silverton Bridge Bank, National Association, to take over operations."
485," Ketchum, ID",First Bank of Idaho,PR-60-2009,24-Apr-09,488.9,374,"U.S. Bank, National Association, Minneapolis, MN, has agreed to assume all non-brokered deposits."
486," Calabasas, CA",First Bank of Beverly Hills,PR-59-2009,24-Apr-09,1500,1000,The FDIC has approved the payout of the insured deposits of First Bank of Beverly Hills.
487," Farmington Hills, MI",Michigan Heritage Bank,PR-58-2009,24-Apr-09,184.6,151.7,"Level One Bank, Farmington Hills, MI, has agreed to assume all deposits."
488," Kennesaw, GA",American Southern Bank,PR-57-2009,24-Apr-09,112.3,104.3,"Bank of North Georgia, Alpharetta, GA, has agreed to assume all non-brokered deposits."
489," Elko, NV",Great Basin Bank of Nevada,PR-55-2009,17-Apr-09,270.9,221.4,"Nevada State Bank, Las Vegas, NV, has agreed to assume all deposits."
490," Sugar Creek, MO",American Sterling Bank,PR-54-2009,17-Apr-09,181,171.9,"Metcalf Bank, Lee's Summit, Missouri, has agreed to assume all deposits."
491," Greeley, CO",New Frontier Bank,PR-53-2009,10-Apr-09,2000,1500,"Deposit Insurance National Bank of Greeley, Greeley, Colorado has agreed to assume the non-brokered insured deposits."
